station,time,lat,lon,temperature
000BV,2019-06-18 06:00:00+02:00,48.847,2.356,16.366666666666664
000BV,2019-06-18 07:00:00+02:00,48.847,2.356,17.2
000BV,2019-06-18 08:00:00+02:00,48.847,2.356,18.2
000BV,2019-06-18 09:00:00+02:00,48.847,2.356,19.766666666666666
000BV,2019-06-18 10:00:00+02:00,48.847,2.356,22.0
000BV,2019-06-18 11:00:00+02:00,48.847,2.356,24.400000000000002
000BV,2019-06-18 12:00:00+02:00,48.847,2.356,26.0
000BV,2019-06-18 13:00:00+02:00,48.847,2.356,26.916666666666668
000BV,2019-06-18 14:00:00+02:00,48.847,2.356,26.78333333333333
000BV,2019-06-18 15:00:00+02:00,48.847,2.356,27.2
000BV,2019-06-18 16:00:00+02:00,48.847,2.356,27.71666666666667
000BV,2019-06-18 17:00:00+02:00,48.847,2.356,28.0
000BV,2019-06-18 18:00:00+02:00,48.847,2.356,27.916666666666668
000BV,2019-06-19 06:00:00+02:00,48.847,2.356,22.583333333333332
000BV,2019-06-19 07:00:00+02:00,48.847,2.356,21.683333333333334
000BV,2019-06-19 08:00:00+02:00,48.847,2.356,22.03333333333333
000BV,2019-06-19 09:00:00+02:00,48.847,2.356,23.433333333333334
000BV,2019-06-19 10:00:00+02:00,48.847,2.356,24.53333333333333
000BV,2019-06-19 11:00:00+02:00,48.847,2.356,23.900000000000002
000BV,2019-06-19 12:00:00+02:00,48.847,2.356,24.34
000BV,2019-06-19 13:00:00+02:00,48.847,2.356,25.166666666666668
000BV,2019-06-19 14:00:00+02:00,48.847,2.356,24.833333333333332
000BV,2019-06-19 15:00:00+02:00,48.847,2.356,24.7
000BV,2019-06-19 16:00:00+02:00,48.847,2.356,24.25
000BV,2019-06-19 17:00:00+02:00,48.847,2.356,23.55
000BV,2019-06-19 18:00:00+02:00,48.847,2.356,23.45
000BV,2019-06-20 06:00:00+02:00,48.847,2.356,16.633333333333333
000BV,2019-06-20 07:00:00+02:00,48.847,2.356,15.366666666666667
000BV,2019-06-20 08:00:00+02:00,48.847,2.356,15.216666666666667
000BV,2019-06-20 09:00:00+02:00,48.847,2.356,15.700000000000001
000BV,2019-06-20 10:00:00+02:00,48.847,2.356,16.616666666666667
000BV,2019-06-20 11:00:00+02:00,48.847,2.356,17.75
000BV,2019-06-20 12:00:00+02:00,48.847,2.356,19.066666666666666
000BV,2019-06-20 13:00:00+02:00,48.847,2.356,19.849999999999998
000BV,2019-06-20 14:00:00+02:00,48.847,2.356,20.85
000BV,2019-06-20 15:00:00+02:00,48.847,2.356,20.55
000BV,2019-06-20 16:00:00+02:00,48.847,2.356,20.516666666666666
000BV,2019-06-20 17:00:00+02:00,48.847,2.356,20.900000000000002
000BV,2019-06-20 18:00:00+02:00,48.847,2.356,21.150000000000002
000BV,2019-06-21 06:00:00+02:00,48.847,2.356,15.483333333333334
000BV,2019-06-21 07:00:00+02:00,48.847,2.356,15.649999999999999
000BV,2019-06-21 08:00:00+02:00,48.847,2.356,16.116666666666667
000BV,2019-06-21 09:00:00+02:00,48.847,2.356,17.21666666666667
000BV,2019-06-21 10:00:00+02:00,48.847,2.356,18.25
000BV,2019-06-21 11:00:00+02:00,48.847,2.356,19.516666666666666
000BV,2019-06-21 12:00:00+02:00,48.847,2.356,19.933333333333334
000BV,2019-06-21 13:00:00+02:00,48.847,2.356,20.633333333333333
000BV,2019-06-21 14:00:00+02:00,48.847,2.356,20.816666666666666
000BV,2019-06-21 15:00:00+02:00,48.847,2.356,21.133333333333333
000BV,2019-06-21 16:00:00+02:00,48.847,2.356,21.283333333333335
000BV,2019-06-21 17:00:00+02:00,48.847,2.356,21.683333333333334
000BV,2019-06-21 18:00:00+02:00,48.847,2.356,21.7
000BV,2019-06-22 06:00:00+02:00,48.847,2.356,14.15
000BV,2019-06-22 07:00:00+02:00,48.847,2.356,14.416666666666666
000BV,2019-06-22 08:00:00+02:00,48.847,2.356,15.283333333333333
000BV,2019-06-22 09:00:00+02:00,48.847,2.356,17.3
000BV,2019-06-22 10:00:00+02:00,48.847,2.356,18.966666666666665
000BV,2019-06-22 11:00:00+02:00,48.847,2.356,20.466666666666665
000BV,2019-06-22 12:00:00+02:00,48.847,2.356,21.233333333333334
000BV,2019-06-22 13:00:00+02:00,48.847,2.356,22.2
