file,var,dims,dtype,units,standard_name,long_name
75106001_LUXEMBOURG_MTO_1H_2019.nc,rh,8760,float32,%,relative_humidity,
75106001_LUXEMBOURG_MTO_1H_2019.nc,rh_max,8760,float32,%,,relative_humidity maximum
75106001_LUXEMBOURG_MTO_1H_2019.nc,rh_min,8760,float32,%,,relative_humidity minimum
75106001_LUXEMBOURG_MTO_1H_2019.nc,wd,8760,float32,degree,wind_from_direction,
75106001_LUXEMBOURG_MTO_1H_2019.nc,ws,8760,float32,m.s^-1,wind_speed,
75106001_LUXEMBOURG_MTO_1H_2019.nc,dxi,8760,float32,degree,wind_from_direction,
75106001_LUXEMBOURG_MTO_1H_2019.nc,ws_max,8760,float32,m.s^-1,wind_speed_of_gust,
75106001_LUXEMBOURG_MTO_1H_2019.nc,dxy,8760,float32,degree,maximal_direction_mean_wind,
75106001_LUXEMBOURG_MTO_1H_2019.nc,mws_max,8760,float32,m.s^-1,mean_wind_speed_of_gust,
75106001_LUXEMBOURG_MTO_1H_2019.nc,cumul_precip,8760,float32,mm,precipitation_amount,
75106001_LUXEMBOURG_MTO_1H_2019.nc,ts_10,8760,float32,Kelvin,,soil temperature at -10cm
75106001_LUXEMBOURG_MTO_1H_2019.nc,ts_20,8760,float32,Kelvin,,soil temperature at -20cm
75106001_LUXEMBOURG_MTO_1H_2019.nc,ts_50,8760,float32,Kelvin,,soil temperature at -50cm
75106001_LUXEMBOURG_MTO_1H_2019.nc,ts_100,8760,float32,Kelvin,,soil temperature at -100cm
75106001_LUXEMBOURG_MTO_1H_2019.nc,visi,8760,float32,m,visibility_in_air,
75106001_LUXEMBOURG_MTO_1H_2019.nc,soil_st,8760,float32,code,,soil state
75106001_LUXEMBOURG_MTO_1H_2019.nc,snow_height,8760,float32,m,surface_snow_thickness,
75106001_LUXEMBOURG_MTO_1H_2019.nc,nebulosity,8760,float32,octa,,total nebulosity in octa
75106001_LUXEMBOURG_MTO_1H_2019.nc,insolh_duration,8760,float32,mn,,duration of insolation
75106001_LUXEMBOURG_MTO_1H_2019.nc,glo,8760,float32,J.m-2,integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time,
75106001_LUXEMBOURG_MTO_1H_2019.nc,pres,8760,float32,Pa,air_pressure,
75106001_LUXEMBOURG_MTO_1H_2019.nc,pres_sl,8760,float32,Pa,air_pressure_at_sea_level,
75106001_LUXEMBOURG_MTO_1H_2019.nc,time,8760,datetime64[ns],,time,
75106001_LUXEMBOURG_MTO_1H_2019.nc,station_name,,|S10,,,timeseries_id
