station_name,lat,lon,alt_m,time_utc,time_local,ta_c,rh,source_file
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 10:00:00+00:00,2019-06-03 10:00:00,18.399994,78.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 11:00:00+00:00,2019-06-03 11:00:00,19.100006,78.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 12:00:00+00:00,2019-06-03 12:00:00,19.300018,77.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 13:00:00+00:00,2019-06-03 13:00:00,17.800018,87.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 14:00:00+00:00,2019-06-03 14:00:00,20.600006,74.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 15:00:00+00:00,2019-06-03 15:00:00,20.700012,67.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 16:00:00+00:00,2019-06-03 16:00:00,20.600006,64.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 17:00:00+00:00,2019-06-03 17:00:00,21.5,61.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 18:00:00+00:00,2019-06-03 18:00:00,21.100006,56.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 06:00:00+00:00,2019-06-04 06:00:00,15.5,97.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 07:00:00+00:00,2019-06-04 07:00:00,16.200012,96.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
